# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  2.3894E+03  2.7983E+03  9.7182E-05  5.5371E+01  3.6416E+03  1.0144E+04
  2.3570E+03  2.8034E+03  6.7555E-05  3.8072E+01  3.6206E+03  1.0246E+04
  2.3247E+03  2.8084E+03  4.6419E-05  2.5884E+01  3.5995E+03  1.0353E+04
  2.2924E+03  2.8134E+03  3.1517E-05  1.7394E+01  3.5781E+03  1.0463E+04
  2.2600E+03  2.8184E+03  2.1138E-05  1.1550E+01  3.5564E+03  1.0578E+04
  2.2277E+03  2.8233E+03  1.4000E-05  7.5755E+00  3.5345E+03  1.0697E+04
  2.1953E+03  2.8282E+03  9.1525E-06  4.9061E+00  3.5124E+03  1.0821E+04
  2.1630E+03  2.8330E+03  5.9044E-06  3.1361E+00  3.4900E+03  1.0950E+04
  2.1414E+03  3.0327E+03  4.2850E-06  2.2641E+00  3.0108E+03  1.1048E+04
  2.0693E+03  3.0420E+03  1.4032E-06  7.2909E-01  2.9532E+03  1.1389E+04
  1.9972E+03  3.0510E+03  4.2547E-07  2.1747E-01  2.8938E+03  1.1756E+04
  1.9251E+03  3.0600E+03  1.1882E-07  5.9716E-02  2.8325E+03  1.2147E+04
  1.8530E+03  3.0688E+03  3.0363E-08  1.4987E-02  2.7691E+03  1.2561E+04
  1.7809E+03  3.0775E+03  7.0430E-09  3.4073E-03  2.7035E+03  1.2997E+04
  1.7088E+03  3.0860E+03  1.4681E-09  6.9432E-04  2.6354E+03  1.3456E+04
  1.6367E+03  3.0945E+03  2.7160E-10  1.2518E-04  2.5647E+03  1.3940E+04
  1.5646E+03  3.1028E+03  4.3921E-11  1.9663E-05  2.4912E+03  1.4451E+04
  1.4925E+03  3.1109E+03  6.0941E-12  2.6405E-06  2.4146E+03  1.4995E+04
  1.4204E+03  3.1190E+03  7.0925E-13  2.9633E-07  2.3347E+03  1.5581E+04
  1.3483E+03  3.1269E+03  6.7344E-14  2.7024E-08  2.2511E+03  1.6218E+04
  1.2762E+03  3.1347E+03  5.0409E-15  1.9347E-09  2.1635E+03  1.6917E+04
  1.2041E+03  3.1423E+03  2.8497E-16  1.0413E-10  2.0714E+03  1.7692E+04
  1.1320E+03  3.1499E+03  1.1523E-17  3.9890E-12  1.9746E+03  1.8559E+04
  1.0599E+03  3.1572E+03  3.1089E-19  1.0138E-13  1.8723E+03  1.9539E+04
  9.8777E+02  3.1645E+03  5.1105E-21  1.5601E-15  1.7641E+03  2.0658E+04
  9.1567E+02  3.1715E+03  4.5395E-23  1.2882E-17  1.6494E+03  2.1952E+04
  8.4357E+02  3.1784E+03  1.8533E-25  4.8510E-20  1.5272E+03  2.3466E+04
  7.7147E+02  3.1851E+03  7.3040E-31  2.3250E-25  1.3970E+03  3.6854E+04
  6.9937E+02  3.1915E+03  1.1445E-34  3.3065E-29  1.2578E+03  4.0416E+04
  6.2727E+02  3.1977E+03  2.3622E-39  6.1250E-34  1.1088E+03  4.4810E+04
  5.5517E+02  3.2036E+03  2.8026E-45  6.6554E-40  9.4941E+02  5.0363E+04
  4.8307E+02  3.2090E+03  0.0000E+00  0.0000E+00  7.7968E+02  3.6188E+04
  4.1097E+02  3.2139E+03  0.0000E+00  0.0000E+00  6.0101E+02  4.2280E+04
  3.3887E+02  3.2180E+03  0.0000E+00  0.0000E+00  4.1803E+02  5.1007E+04
  2.6677E+02  3.2213E+03  0.0000E+00  0.0000E+00  2.4178E+02  6.4505E+04
  1.9467E+02  3.2233E+03  0.0000E+00  0.0000E+00  9.4208E+01  5.1234E+04
