# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  2.5581E+03  3.1518E+03  7.4159E-04  4.9123E+02  3.5169E+03  9.2693E+03
  2.5028E+03  3.1564E+03  4.6232E-04  3.0066E+02  3.4920E+03  9.3946E+03
  2.4475E+03  3.1611E+03  2.8191E-04  1.7995E+02  3.4666E+03  9.5275E+03
  2.3922E+03  3.1656E+03  1.6787E-04  1.0515E+02  3.4407E+03  9.6687E+03
  2.3369E+03  3.1702E+03  9.7453E-05  5.9886E+01  3.4141E+03  9.8191E+03
  2.2816E+03  3.1747E+03  5.5055E-05  3.3182E+01  3.3870E+03  9.9794E+03
  2.2263E+03  3.1792E+03  3.0205E-05  1.7851E+01  3.3591E+03  1.0151E+04
  2.1710E+03  3.1836E+03  1.6057E-05  9.3035E+00  3.3306E+03  1.0334E+04
  2.0986E+03  3.1894E+03  6.6696E-06  3.7639E+00  3.2922E+03  1.0594E+04
  2.0263E+03  3.1951E+03  2.5974E-06  1.4271E+00  3.2525E+03  1.0880E+04
  1.9539E+03  3.2008E+03  9.4165E-07  5.0356E-01  3.2114E+03  1.1195E+04
  1.8815E+03  3.2065E+03  3.1519E-07  1.6399E-01  3.1687E+03  1.1545E+04
  1.8092E+03  3.2120E+03  9.6489E-08  4.8825E-02  3.1243E+03  1.1935E+04
  1.7368E+03  3.2176E+03  2.6717E-08  1.3145E-02  3.0782E+03  1.2371E+04
  1.6644E+03  3.2231E+03  6.6050E-09  3.1588E-03  3.0301E+03  1.2861E+04
  1.5921E+03  3.2286E+03  1.4359E-09  6.6732E-04  2.9799E+03  1.3415E+04
  1.5197E+03  3.2340E+03  2.6957E-10  1.2172E-04  2.9274E+03  1.4046E+04
  1.4473E+03  3.2394E+03  4.2769E-11  1.8757E-05  2.8724E+03  1.4768E+04
  1.3750E+03  3.2447E+03  5.5872E-12  2.3793E-06  2.8145E+03  1.5598E+04
  1.3026E+03  3.2500E+03  5.8225E-13  2.4065E-07  2.7535E+03  1.6558E+04
  1.2302E+03  3.2553E+03  4.6553E-14  1.8660E-08  2.6891E+03  1.7674E+04
  1.1579E+03  3.2605E+03  2.7206E-15  1.0563E-09  2.6207E+03  1.8977E+04
  1.0855E+03  3.2657E+03  1.0931E-16  4.1023E-11  2.5480E+03  2.0500E+04
  1.0131E+03  3.2709E+03  2.7914E-18  1.0093E-12  2.4704E+03  2.2284E+04
  9.4077E+02  3.2761E+03  4.0883E-20  1.4170E-14  2.3870E+03  2.4369E+04
  8.6840E+02  3.2812E+03  2.9932E-22  9.8720E-17  2.2970E+03  2.6797E+04
  7.9603E+02  3.2863E+03  9.0736E-25  2.8191E-19  2.1993E+03  2.9617E+04
  7.2367E+02  3.2913E+03  8.7331E-28  2.5227E-22  2.0925E+03  3.2893E+04
  6.5130E+02  3.2963E+03  1.8140E-31  4.7948E-26  1.9747E+03  3.6734E+04
  5.7893E+02  3.3013E+03  4.5439E-36  1.0789E-30  1.8435E+03  4.1340E+04
  5.0657E+02  3.3062E+03  5.4889E-42  1.1467E-36  1.6955E+03  4.7073E+04
  4.3420E+02  3.3111E+03  0.0000E+00  0.0000E+00  1.5260E+03  3.0269E+04
  3.6183E+02  3.3159E+03  0.0000E+00  0.0000E+00  1.3282E+03  3.5875E+04
  2.8947E+02  3.3205E+03  0.0000E+00  0.0000E+00  1.0921E+03  4.4368E+04
  2.1710E+02  3.3249E+03  0.0000E+00  0.0000E+00  8.0318E+02  5.8598E+04
