# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  3.4747E+03  6.2751E+03  5.1636E-01  2.3699E+05  1.9225E+03  3.6195E+03
  3.2367E+03  6.3846E+03  2.1776E-01  9.0071E+04  1.8829E+03  3.7313E+03
  2.9988E+03  6.4921E+03  7.4875E-02  2.7705E+04  1.8414E+03  3.8724E+03
  2.7608E+03  6.5975E+03  1.9538E-02  6.4331E+03  1.7977E+03  4.0532E+03
  2.5229E+03  6.7004E+03  3.5053E-03  1.0262E+03  1.7515E+03  4.2882E+03
  2.2849E+03  6.8008E+03  3.8006E-04  9.9484E+01  1.7023E+03  4.5963E+03
  2.0470E+03  6.8987E+03  2.1262E-05  5.0340E+00  1.6493E+03  5.0007E+03
  1.8090E+03  6.9939E+03  5.0701E-07  1.0980E-01  1.5916E+03  5.5292E+03
  1.7909E+03  7.3303E+03  3.6186E-07  7.7867E-02  1.4499E+03  5.5772E+03
  1.7306E+03  7.3531E+03  1.1191E-07  2.3578E-02  1.4326E+03  5.7442E+03
  1.6703E+03  7.3757E+03  3.1934E-08  6.5854E-03  1.4148E+03  5.9230E+03
  1.6100E+03  7.3981E+03  8.3497E-09  1.6844E-03  1.3965E+03  6.1145E+03
  1.5497E+03  7.4204E+03  1.9840E-09  3.9116E-04  1.3775E+03  6.3199E+03
  1.4894E+03  7.4426E+03  4.2426E-10  8.1643E-05  1.3579E+03  6.5407E+03
  1.4291E+03  7.4646E+03  8.0694E-11  1.5132E-05  1.3375E+03  6.7786E+03
  1.3688E+03  7.4864E+03  1.3460E-11  2.4545E-06  1.3164E+03  7.0356E+03
  1.3085E+03  7.5081E+03  1.9356E-12  3.4246E-07  1.2945E+03  7.3142E+03
  1.2482E+03  7.5296E+03  2.3507E-13  4.0237E-08  1.2716E+03  7.6176E+03
  1.1879E+03  7.5510E+03  2.3503E-14  3.8802E-09  1.2477E+03  7.9494E+03
  1.1276E+03  7.5723E+03  1.8753E-15  2.9754E-10  1.2226E+03  8.3142E+03
  1.0673E+03  7.5934E+03  1.1487E-16  1.7446E-11  1.1963E+03  8.7177E+03
  1.0070E+03  7.6143E+03  5.1450E-18  7.4470E-13  1.1686E+03  9.1671E+03
  9.4671E+02  7.6351E+03  1.5846E-19  2.1751E-14  1.1393E+03  9.6715E+03
  8.8641E+02  7.6558E+03  3.1009E-21  4.0150E-16  1.1082E+03  1.0242E+04
  8.2611E+02  7.6763E+03  3.4795E-23  4.2240E-18  1.0751E+03  1.0895E+04
  7.6581E+02  7.6967E+03  1.9547E-25  2.2100E-20  1.0396E+03  1.1650E+04
  7.0551E+02  7.7169E+03  4.5794E-28  4.7861E-23  1.0013E+03  1.2533E+04
  6.4521E+02  7.7370E+03  3.4792E-31  3.3331E-26  9.5980E+02  1.3583E+04
  5.8491E+02  7.7570E+03  6.0084E-35  5.2256E-30  9.1437E+02  1.4851E+04
  5.2461E+02  7.7768E+03  1.4044E-39  1.0963E-34  8.6420E+02  1.6414E+04
  4.6431E+02  7.7965E+03  1.4013E-45  1.3979E-40  8.0810E+02  1.8389E+04
  4.0401E+02  7.8160E+03  0.0000E+00  0.0000E+00  7.4442E+02  2.0963E+04
  3.4371E+02  7.8354E+03  0.0000E+00  0.0000E+00  6.7070E+02  2.4451E+04
  2.8341E+02  7.8546E+03  0.0000E+00  0.0000E+00  5.8303E+02  2.9440E+04
  2.2311E+02  7.8738E+03  0.0000E+00  0.0000E+00  4.7469E+02  3.7153E+04
