# Temperature (K)   Density (sol/liq; kg/m3)   Density (vap; kg/m3)   Pressure (Pa)  Entropy (sol/liq; J/kg)   Entropy (vap; J/kg)
  2.2213E+03  6.7077E+03  9.4667E-05  2.9311E+01  1.9552E+03  6.1492E+03
  2.1624E+03  6.7485E+03  4.2807E-05  1.2869E+01  1.9349E+03  6.2699E+03
  2.1035E+03  6.7889E+03  1.8347E-05  5.3560E+00  1.9143E+03  6.3985E+03
  2.0446E+03  6.8289E+03  7.4238E-06  2.1046E+00  1.8935E+03  6.5355E+03
  1.9857E+03  6.8684E+03  2.8232E-06  7.7727E-01  1.8723E+03  6.6814E+03
  1.9268E+03  6.9075E+03  1.0042E-06  2.6848E-01  1.8507E+03  6.8368E+03
  1.8679E+03  6.9461E+03  3.3227E-07  8.6258E-02  1.8288E+03  7.0023E+03
  1.8090E+03  6.9843E+03  1.0167E-07  2.5620E-02  1.8065E+03  7.1788E+03
  1.7909E+03  7.2713E+03  6.8802E-08  1.7181E-02  1.6626E+03  7.2370E+03
  1.7306E+03  7.3081E+03  1.7592E-08  4.2597E-03  1.6379E+03  7.4393E+03
  1.6703E+03  7.3445E+03  4.0593E-09  9.5248E-04  1.6126E+03  7.6556E+03
  1.6100E+03  7.3805E+03  8.3673E-10  1.9009E-04  1.5866E+03  7.8872E+03
  1.5497E+03  7.4161E+03  1.5227E-10  3.3457E-05  1.5599E+03  8.1357E+03
  1.4894E+03  7.4512E+03  2.4130E-11  5.1210E-06  1.5324E+03  8.4027E+03
  1.4291E+03  7.4860E+03  3.2763E-12  6.7052E-07  1.5040E+03  8.6906E+03
  1.3688E+03  7.5203E+03  3.7388E-13  7.3655E-08  1.4747E+03  9.0020E+03
  1.3085E+03  7.5542E+03  3.5045E-14  6.6319E-09  1.4444E+03  9.3400E+03
  1.2482E+03  7.5877E+03  2.6249E-15  4.7601E-10  1.4130E+03  9.7086E+03
  1.1879E+03  7.6208E+03  1.5193E-16  2.6332E-11  1.3803E+03  1.0113E+04
  1.1276E+03  7.6536E+03  5.3602E-21  8.8928E-16  1.3462E+03  1.0215E+04
  1.0673E+03  7.6859E+03  1.8766E-22  2.9554E-17  1.3105E+03  1.0702E+04
  1.0070E+03  7.7178E+03  4.3939E-24  6.5446E-19  1.2732E+03  1.1248E+04
  9.4671E+02  7.7494E+03  6.3619E-26  8.9260E-21  1.2338E+03  1.1864E+04
  8.8641E+02  7.7805E+03  5.1549E-28  6.7823E-23  1.1923E+03  1.2567E+04
  8.2611E+02  7.8113E+03  2.0541E-30  2.5217E-25  1.1482E+03  1.3373E+04
  7.6581E+02  7.8416E+03  3.3960E-33  3.8677E-28  1.1012E+03  1.4310E+04
  7.0551E+02  7.8715E+03  1.8538E-36  1.9461E-31  1.0509E+03  1.5410E+04
  6.4521E+02  7.9010E+03  2.4420E-40  2.3451E-35  9.9661E+02  1.6721E+04
  5.8491E+02  7.9301E+03  5.6052E-45  4.3399E-40  9.3765E+02  1.8307E+04
  5.2461E+02  7.9586E+03  0.0000E+00  0.0000E+00  8.7308E+02  2.0264E+04
  4.6431E+02  7.9866E+03  0.0000E+00  0.0000E+00  8.0169E+02  2.2739E+04
  4.0401E+02  8.0140E+03  0.0000E+00  0.0000E+00  7.2183E+02  2.5963E+04
  3.4371E+02  8.0405E+03  0.0000E+00  0.0000E+00  6.3133E+02  3.0334E+04
  2.8341E+02  8.0660E+03  0.0000E+00  0.0000E+00  5.2723E+02  3.6585E+04
  2.2311E+02  8.0899E+03  0.0000E+00  0.0000E+00  4.0585E+02  3.6157E+04
